"公司代號","公司名稱","產業別","基本每股盈餘(元)","普通股每股面額","營業收入","營業利益","營業外收入及支出","稅後淨利",
"2010","春源鋼鐵工業股份有限公司","鋼鐵工業","0.40","新台幣                 10.0000元","13041147.00","282879.00","73297.00","253753.00",
"2012","春雨工廠股份有限公司","鋼鐵工業","0.55","新台幣                 10.0000元","6561543.00","366198.00","-125920.00","194131.00",
"2013","中國鋼鐵結構股份有限公司","鋼鐵工業","0.21","新台幣                 10.0000元","12502915.00","23509.00","27977.00","39949.00",
"2014","中鴻鋼鐵股份有限公司","鋼鐵工業","1.01","新台幣                 10.0000元","29835389.00","1388796.00","58420.00","1447122.00",
"2015","豐興鋼鐵股份有限公司","鋼鐵工業","3.10","新台幣                 10.0000元","17522191.00","1996631.00","150440.00","1804222.00",
"2017","官田鋼鐵股份有限公司","鋼鐵工業","0.74","新台幣                 10.0000元","3291407.00","276338.00","47240.00","295876.00",
"2020","美亞鋼管廠股份有限公司","鋼鐵工業","1.15","新台幣                 10.0000元","3724546.00","298858.00","110841.00","310785.00",
"2022","聚亨企業股份有限公司","鋼鐵工業","-0.30","新台幣                 10.0000元","5723518.00","47489.00","-109396.00","-115554.00",
"2023","燁輝企業股份有限公司","鋼鐵工業","0.71","新台幣                 10.0000元","53320134.00","1892276.00","-166106.00","1303358.00",
"2024","志聯工業股份有限公司","鋼鐵工業","0.77","新台幣                 10.0000元","1062636.00","105928.00","-13041.00","75374.00",
"2025","千興不銹鋼(股)公司","鋼鐵工業","-0.08","新台幣                 10.0000元","2604957.00","-17152.00","-5094.00","-22246.00",
"2027","大成不銹鋼工業股份有限公司","鋼鐵工業","1.05","新台幣                 10.0000元","46852096.00","3170675.00","-1371988.00","1189253.00",
"2028","威致鋼鐵工業股份有限公司","鋼鐵工業","1.33","新台幣                 10.0000元","7044497.00","490383.00","-48596.00","433098.00",
